idx,Sentence,Fig_Exp,Replacement,DMS,SE,General,Type
1499,"To me, a few months and a 0.2.3 version tag, doesn't seem ""battle tested"" enough to pull it in as a default.",battle tested,"To me, a few months and a 0.2.3 version tag, doesn't seem ""thuroughly tested"" enough to pull it in as a default.","During the medieval reenactment, the newly forged sword didn't seem ""battle tested"" enough for the knight to use it as his default weapon.",battle tested,,metaphor
83,"@sparr you beat me to the update :) unfortunately, GitHub can't let me unilaterally make everyone public... so I have to wait for folks to do it manually... but yes... progress.",beat me to the update,"you were first to the update :) unfortunately, GitHub can't let me unilaterally make everyone public... so I have to wait for folks to do it manually... but yes... progress.","@sparr you missed the target with the update :) unfortunately, GitHub can't let me unilaterally make everyone public... so I have to wait for folks to do it manually... but yes... progress.",beat me to the update,,metaphor
1328,The difference: my better benchmarking system can write to memory at 15 GB/s while the slower system can only write to memory at 6 GB/s.,"benchmarking system, write to memory",The difference: my better testing system can save data at 15 GB/s while the slower system can only save data at 6 GB/s,The difference: my more efficient water pump can distribute water at 15 gallons/minute while the slower pump can only distribute water at 6 gallons/minute.,"benchmarking system, write to memory",,idiom
1600,"Yea Nitram84 is spot on, I can not share the source files as they are private but I can share bits of code or bytecode.","spot on, bits of code","Yea Nitram84 is correct, I can not share the source files as they are private but I can share pieces of code or bytecode.","Yea Nitram84 is standing on a spot, I cannot share the coordinates as they are restricted but I can share small observations or descriptions.",bits of code,spot on,idiom
1349,The other is some clever bitshifting to preserve that leftmost bit.,bitshifting,The other is some clever method of moving pixels to preserve that leftmost bit.,"The other approach involves moving the bits in the storage room, ensuring that the leftmost bit remains in its original position.",bitshifting,,metaphor
960,Maybe a blacklisting feature would be nice where you can stop certain names from being deobfuscated,"Blacklisting feature, Deobfuscated","Maybe implementing a feature to restrict certain names from being deobfuscated would be beneficial.
",Maybe having a feature that allows you to exclude specific ingredients from recipes for those with dietary restrictions.,"Blacklisting feature, Deobfuscated",,metaphor
1086,PowerToys user base are savvy users and tend to be bleeding edge.,"savvy users, bleeding edge","Polling, as I understand it, puts a more pressure on, so it probably shouldn't be the default.",Beginners are often reckless users and tends to be bleeding wounds.,bleeding edge,savvy users,idiom
1434,"This is one year old, is it really the bleeding edge?",bleeding edge,"This is one year old, is it really the most advanced?","This is one day old report on the earthquake, is it really the latest news?",bleeding edge,,idiom
1347,The only difference is that you have a slightly chance that there is a blip of service from the declarative connection and the default.,blip of service,The only difference is that you have a slightly chance that there is a small amount of service from the declarative connection and the default.,The only difference is that you have a slightly chance that there is a burst of sound from the audio connection and the default.,blip of service,,idiom
175,"Anyway, I hide this comment, so it will not bloat code anymore :)",bloat code,"Anyway, I hide this comment, so it will not be unneccsary code anymore :)","Anyway, I hide this comment, so it will not clutter the conversation anymore :)",bloat code,,idiom
966,Maybe use the current block syntax?,block syntax,Maybe use the current section of code?,Maybe apply the current block algorithm to a puzzle solution.,block syntax,,idiom
1422,This is blocking our release - thanks!,blocking,This is preventing us from distributing - thanks!,This puzzle piece is blocking our release of the completed image - thanks!,blocking,,metaphor
790,"If so, that seems like a lot of boilerplate.",boilerplate,"If so, that seems like a lot of repeated code.","If so, that seems like a lot of unnecessary paperwork.",boilerplate,,metaphor
382,Happy to revisit if you can show that this function is the bottleneck in this code.,bottleneck,Happy to revisit if you can show that this function is the limiting factor in this code.,Happy to take a proposal that fixes this by making the project timeline more realistic.,bottleneck,,metaphor
1529,Was the box very low on memory when this used to happen?,"box, memory",Was the storage very low on space when this used to happen?,Was the cardboard box very low on storage space when this used to happen?,"box, memory",,metaphor
380,"Happy to discuss next steps and/or elaborate on the code as needed, but the branch is yours now.",branch,"Happy to discuss next steps and/or elaborate on the code as needed, but this copy of the code is yours now.","Happy to discuss next steps and/or elaborate on the gardening techniques as needed, but the tree branch is yours now.",branch,,metaphor
742,"I'm not sure if this info helps, I know it's just a breadcrumb.",breadcrumb,"I'm not sure if this info helps, I know it's just a small piece of information.","I'm not sure if this jam helps, I know it's just a bread crumbs.",breadcrumb,,metaphor
666,"I was able to reproduce, but only after enabling breadcrumbs.",breadcrumbs,"I was able to reproduce, but only after enabling navigation scheme.","I was able to reproduce the dish, but only after adding breadcrumbs to the recipe.",breadcrumbs,,metaphor
1098,Relying on indirect dependency can make things break easily.,"make, break",Relying on indirect dependency can cause things to not work proprely easily.,Pouring hot water on the frozen lock made it break easily.,break,make,metaphor
257,"But until then the current release works, but it will break.)",break,"But until then the current release works, but it will still perform incorrectly.)","But until then the current release works, but it will be sufficient.",break,,metaphor
592,"I probably need to port deepspeed tests as well, since this PR will break all of them.",break all of them,"I probably need to port deepspeed tests as well, since this PR will cause them not to work.","I probably need to move inventory audits as well, since this inventory management system will impact all of them.",break all of them,,idiom
1584,Would appreciate a sanity check by someone to see that it shouldn't break anything.,"sanity check, break anything",Would appreciate a checking of the work by someone to see that it shouldn't intrupt any other parts of the software.,Would appreciate if someone could perform a mental health assessment to ensure that he hasn't been suffering from any undiagnosed mental health disorders.,break anything,sanity check,idiom
1042,okay for me as well as long as it doesn't break anything!,break anything,okay for me as well as long as it doesn't cause any errors!,"Okay for me to join the picnic as well, as long as it doesn't break anything in my schedule!",break anything,,idiom
1420,"This is a great way of quickly testing your changes didn't break anything, since it won't run the tests related to files you didn't touch.",break anything,"This is a great way of quickly testing your changes didn't change anything, since it won't run the tests related to files you didn't touch.","This is a terrible way of slowly testing your stamina didn't improve anything, since it will exhaust the muscles you didn't exercise.",break anything,,idiom
426,"Hmm, pretty sure this will break things within the same window.","break things, within the same window","Hmm, pretty sure this will stop things from working in the same area.","Hmm, pretty sure using shatterproof glass will prevent things from breaking the window.","break things, within the same window",,idiom
431,Hope this change doesn't break deobfuscation and renaming.,"break, deobfuscation",Hope this change doesn't create errors with simplifying and renaming.,Hope this change doesn't enhance encryption and obfuscation.,"break, deobfuscation",,metaphor
1411,This has the potential of breaking badly if an action is not ready for that.,breaking,This has the potential of not working properly if an action is not ready for that.,The bridge has the potential of collapsing disastrously if the maintenance is not conducted on time.,breaking,,metaphor
1431,This is interesting but has the side effect of breaking all apps.,"side effect, breaking all apps",This is interesting but has the unexpected result of stopping apps from working.,This new pill is highly effective but has the side effect of causing nails to break when they use it.,breaking all apps,side effect,idiom
637,I think this is a tricky thing to fix without breaking backwards compatibility in some way.,breaking backwards compatablity,I think this is a tricky thing to fix without removing support for older builds.,"During the repair process, I accidentally snapped the reverse gear, which ultimately broke the car's backwards compatibility.",breaking backwards compatablity,,idiom
1387,There's no breaking changes at all.,breaking change,There's no fundemental changes at all.,There's no breaking of eggs during the cooking class at all.,breaking change,,idiom
429,"Honestly, I'm not confident with this change because yes, it breaks backward compatibility.",breaks backward compatibility,"Honestly, I'm not confident with this change because yes, it make the software incompatible with the older versions.","Honestly, I'm not confident with this birdhouse because yes, it doesn't attract any birds.",breaks backward compatibility,,idiom
291,Debugging the Flow fix is gonna be fun given Flow is broken for me locally.,"broken, fun",Debugging the Flow fix is gonna be difficult given Flow is not working for me locally.,Debugging the Flow fix is gonna be a breeze given Flow is flawless for me locally.,broken,fun,metaphor
943,"Looks like broken memory, please could you try a memory test?","broken memory, memory test","Looks like storage issues, please could you try a storage test?","Looks like a flat tire, please could you try a tire pressure test?","broken memory, memory test",,idiom
1378,"There can be some brute-force, hacky solution, but I don't think that is proper way forward.","brute-force, hacky solution, way forward","There can be some trial and error,quick fix, but I don't think that is proper course of action.","There can be some plant-relocation, temporary solution, but I don't think that is the proper way forward when it comes to maintaining a garden.",brute-force,"hacky solution, way forward",idiom
85,@taylorotwell an attacker can brute-force the signature parameter without throttling.,"attacker, brute-force, throttling",@taylorotwell an assailant can assult the signature parameter without throttling.,@taylorotwell a user can accidentally modify the signature parameter without realizing it.,"brute-force, throttling",attacker,metaphor
971,Might be nice to have a bubbles-false test for this too if we don't.,bubbles-false,Might be nice to have a test setting value false for this too if we don't.,Might be nice to have a bubble bath without soap for this too if we don't.,bubbles-false,,metaphor
1193,"Sorry, thought it was an separate issue due to the buffer overflow error message.",buffer overflow,"Sorry, thought it was an separate issue due to the data in the bufer exceedign storage error message.","Sorry, thought it was a separate issue due to the file not found error message.",buffer overflow,,metaphor
859,It sounds like you're asking for help rather than showcasing a bug.,"showcasing, bug",It sounds like you're asking for help rather than identifying a mistake in the code.,It seems like you're showcasing a beautiful flower rather than discussing a pest problem.,bug,showcasing,metaphor
427,"Hmm, that's a very good test - it indeed seems like there is a bug with the model weights conversion...",bug,"Hmm, that's a very good test - it indeed seems like there is a error with the model weights conversion...","Hmm, that's a very good examination of the insect collection - it indeed seems like there is a beetle with the striking metallic blue coloration...",bug,,metaphor
844,It is just possible that it was an hard to trigger bug.,bug,It is just possible that it was a hard to trigger error.,It is just possible that it was a difficult to find insect in the crop field.,bug,,metaphor
939,"lol, best bug I've seen in an issue tracker for a while.",bug,"lol, best error I've seen in an issue tracker for a while.","Lol, best feature I've seen in an issue tracker for a while.",bug,,metaphor
1508,Udit reported seeing this in the bug bash as well.,bug bash,Udit reported seeing this in the error fixing code as well.,Udit mentioned witnessing a bug-smashing competition like this bug bash we're attending.,bug bash,,metaphor
1222,"Thank you (and Reflekks) so much, I've been having this issue and I'm super glad that y'all managed to communicate so well and get this pesky bug squashed.",bug squash,Im super glad that y'all managed to communicate so well and resolve the error.,"Thank you (and Reflekks) so much for helping me in the garden, I've been having this issue with pests, and I'm super glad that y'all managed to communicate so well and get this pesky bug squashed in the process.",bug squash,,metaphor
1053,"One more thing..
After the bug, I tried to build below command without clean and I can success.","bug, build, clean","One more thing.. After the error in code, I tried to execute the below command without clean and I can success.","One more rest day..
After the workout, I tried to push myself without taking a break and I can feel exhausted.","bug, build, clean",,metaphor
255,"But this can be 1 out of 10k, like a bug or a slow process or alike.","bug, slow process","But this can be 1 out of 10k, like a error or a slow load time or alike.","But this can be 1 out of 10k, like a rare gem or a precious artifact or similar","bug, slow process",,metaphor
296,Didn't want to couple it to this bugfix.,bugfix,Didn't want to couple it to this correction of error in the code.,Didn't want to couple the train cabin to this bug-infested sleeper compartment.,bugfix,,metaphor
1231,"Thank you for your suggestions, you have solved the puzzle 🙏 The winning suggestion award goes to @Rocketknight1 -- XLA on CPU is indeed buggy.","puzzle, buggy","Thank you for your suggestions, you have solved the question 🙏 The winning suggestion award goes to @Rocketknight1 -- XLA on CPU is indeed prone to errors.","Thank you for helping me finish the crossword puzzle 🙏 The winning prize for the best suggestion goes to @Rocketknight1 -- ""Fish on Hook"" is indeed an excellent clue.",buggy,puzzle,metaphor
832,Isn't that make my code more buggy.,buggy,Isn't that make my code more prone to errors.,Doesn't that make my code more efficient?,buggy,,metaphor
976,"My apologies for the buggy bug report - yes, the expected value is a capitalized B in Bar.",buggy bug,"My apologies for the error filled report- yes, the expected value is a capitalized B in bar.","My apologies for the buggy bug infestation in our garden - yes, the expected outcome is a more controlled environment with fewer insects.",buggy bug,,metaphor
833,It also feels cleaner IMO because React is literally designed to build and reconcile trees.,"feel, build, reconcile",It also seems cleaner IMO because React is literally designed to create and updates trees.,It also feels cleaner in my opinion because garbage and trash disposal is literally designed to collect and dispose of waste properly.,build and reconcile trees,feel,metaphor
1359,The problematic regions in the graphs are those that build cycles.,build cycles,The problematic regions in the graphs are those that make methods.,The treacherous roads in the city are those that construct roundabouts.,build cycles,,idiom
857,It shouldn't be our job to build from source.,build from source,It shouldn't be our job to make the software using the code.,"In this cooking competition, it shouldn't be our job to make dishes from the source ingredients.",build from source,,idiom
1049,"Once we reached the limit, Sentinel would enter a busy spin at 100% CPU.",busy spin,"Once we reached the limit, Sentinel would enter a syncronization cycle at 100% CPU.","Once we reached the limit, the robot started to perform a busy spin dance routine, using 100% of its energy.",busy spin,,idiom
1654,You’re kind of buying into some verbosity by using TS in the first place.,buying into some verbosity,You’re kind of accepting some wordiness in the code by using TS in the first place.,You're kind of stepping into a maze by using a vague strategy in the first place.,buying into some verbosity,,idiom
992,Nit: I don't think these separate bools are carrying their weight.,carrying their weight,Nit: I don't think these separate bools are contributing enough.,Nit: I think these separate bools are necessary for the overall functionality.,carrying their weight,,idiom
835,"It can be very cumbersome to cast every tensor to the correct dtype manually, especially when using existing data.",cast every tensor,"It can be very cumbersome to convert the type of every tensor to the correct dtype manually, especially when using existing data.","Ensuring every crop is planted in the right soil condition can be quite arduous, especially when dealing with a large agricultural area.",cast every tensor,,idiom
1122,"Since the issue can be resolved by a simple cast in one line of code, this isn't a big problem here.",cast in one line,"Since the issue can be resolved by a simple conversion of types, this isn't a big problem here.","Since the movie production can be completed by casting all the roles in just one lineup announcement, this isn't a big problem here.",cast in one line,,idiom
1463,This looks like it caught a bug!,caught a bug,This looks like it found a mistake!,The jar with holes on its lid seems to have successfully caught a bug from the garden.,caught a bug,,idiom
1405,This fixture caught this bug while I was working on it.,caught this bug,This fixture found this issue while I was working on it.,This fixture caught the actual bug that was flying around while I was working on it.,caught this bug,,idiom
398,"Here are some concepts I have created: celebrating legacy, but modern ;).",celebrating legacy,"Here are some concepts I have created: honoring tradition, but modern ;).","Here are some dishes I have cooked: savoring tradition, but with a twist ;).",celebrating legacy,,metaphor
1569,"When a slave lost connection with its master, disconnected the chained slaves ASAP.",chained slaves,"When a slave lost connection with its master, disconnected the tethered dependents ASAP.","When the performer lost control over his trained animals, he had to release the chained slaves from the stage quickly.",chained slaves,,metaphor
745,I'm pretty sure I will need to change my logic.,change my logic,I'm pretty sure I will need to change the functionality of the code.,I'm quite convinced I will need to alter my reasoning in this debate.,change my logic,,idiom
1547,"We should still add a checkpoint here ;-) Better to only click on ""resolve"", once the comment is resolved :-)",checkpoint,"We should still add a comparison operation here ;-) Better to only click on ""resolve"", once the comment is resolved :-)","We should still set up a checkpoint here ;-) It's better to only pass through the ""resolve"" checkpoint once the construction work in the area is resolved :-)",checkpoint,,metaphor
101,"A circuit breaker to stop an already bad issue from propagating, and allow faster recovery.",circuit breaker,A breakpoint to stop and already bad issue from propagating and allow faster recovery,"A firewall to halt an already bad issue from spreading, and enable quicker recovery.",circuit breaker,,idiom
92,"@ydshieh Sorry for the late reply, I ran a few experiments and found that fixing both the clamp value and attention mask seems to work (I should mention that at first I only fixed the attention mask and still gives nan.)","clamp value, attention mask","@ydshieh Sorry for the late reply, I ran a few experiments and understood that fixing both the value used for bounding the numbers and attention mask seems to work (I should mention that at first I only fixed the attention mask and still gives nan.)","@ydshieh Sorry for the delayed response, I explored a few locations and found that repairing both the broken latch and the faulty hinge seems to resolve the issue (I should mention that initially I only repaired the hinge and it still causes a malfunction).","clamp value, attention mask",,idiom
1574,"While I appreciate the lean code bit, and I guess with a little bit of energy I could write my own extension, it would seem like this would be a nice built in feature to have.","code bit, little bit, extension, nice built, feature","While I appreciate the lean code portion, and I guess with small amount of energy I could write my own extra code using the existing code, it would seem like this would be a good included feature to have.","While I appreciate the minimalistic design approach, and I guess with a little bit of customization I could design my own website, it would seem like having a responsive navigation menu would be a convenient built-in feature to have.","code bit, feature","little bit, extension, nice built",metaphor
1456,This issue system is only for code bugs and improvements.,code bugs,The issue system is only for errors related to the code and improvments,The entomology research lab is focusing on plant bugs and improvements in their genetic makeup.,code bugs,,idiom
320,"Even though it's cleaner your way, it's nice to keep the code churn to a minimum.","cleaner your way, code churn","Even though your implementation is better, it's nice to avoid unnecessarily rewriting the code.","Even though it's cleaner your way, it's nice to keep the room clutter to a minimum.",code churn,cleaner your way,idiom
84,"@stas00 Thank you for the code cleanup, figuring out the mocking issue, and for your patience.",code cleanup,"@stas00 Thank you for the code revision, figuring out the mocking issue, and for your patience.","@stas00 Thank you for the trash collection, figuring out the waste management issue, and for your patience.",code cleanup,,idiom
206,Because you have to do code cutting.,code cutting,Because you have to do code writing.,Because you have to do some brainstorming.,code cutting,,idiom
299,Do you really work with the code dump?,code dump,Do you really work with the code repository?,Do you really have a problem with the garbage dump?,code dump,,idiom
593,I pushed my log statements to the [URL] branch to help with tracing the code flow.,"code flow, pushed",I added my log statements to the [URL] branch to help with tracing the code history.,I moved my painting supplies to the spacious studio to help with enhancing creativity.,"code flow, pushed",,metaphor
577,"I like that it removes all the ""non-action"" code lenses from the result.",code lenses,"I like that it removes all the ""non-action"" code lenses from the result.","I'm pleased with the fact that it eliminates all the ""non-optical"" contact lenses from the vision correction process.",code lenses,,idiom
461,I agree with all of the points made above about warnings being a code smell.,code smell,I agree with all of the points made above about warnings being a sign of a problem in the code functionality.,I agree with all of the observations stated above about smells being an indicator of environmental pollution.,code smell,,idiom
536,I find that checking for `.git` is usually a code smell.,code smell,I find that checking for `.git` is usually an indicator of a problem in code.,I find that the explanation for `.git` is usually a footnote reference from programming books.,code smell,,idiom
906,It's usually a code smell (not necessarily but it's most likely avoidable here).,code smell,It's usually an indication of a problem in the code (not necessarily but it's most likely avoidable here).,"It's usually a foul odor (not necessarily, but it's most likely avoidable here) emanating from the waste bin.",code smell,,idiom
1638,"You can't just remove them from migrations and think that it's ok.
That's almost like code style.",code style,"You can't just remove them from migrations and think that it's ok.That's almost like formatting.",You can't just remove them from migrations and think that it's ok. That's almost like brushing off a potential bug.,code style,,idiom
410,Hi @bvaughn I have been playing around the devtools packages codebase the whole night.,"playing around, codebase, whole night",Hi @bvaughn I have been experimenting with the devtools packages codebase during whole night.,"Hi @bvaughn, I have been playing around the piano keys the whole night.",codebase,"playing around, whole night",metaphor
102,"A code with colliding methods cannot be compiled in first place, so if Jadx produces colliding code that needs to refactor to avoid collisions, this certainly happens because it merges code from different packages that isn't supposed to be in same place.","colliding code, first place","A code with colliding methods cannot be compiled in starting point, so if Jadx produces conflicting code
that needs to refactor to avoid collisions, this certainly happens because it merges code from different packages that isn't supposed to be in identical spot.","A painting with mixed colors cannot be displayed in an art gallery, so if an artist produces mixed colors that need to be refined to avoid clashes, this certainly happens because he mixes colors from different pigments that aren't supposed to be in the same space.",colliding code,first place,idiom
67,@nunomaduro one thing that I think would be nice is to disable collision when PHPUnit is running.,"collision, running",@nunomaduro one thing that I think would be nice is to deactivate encounter when PHPUnit is active.,@nunomaduro one thing that I think would be nice is to disable logging when PHPUnit is inactive.,"collision, running",,metaphor
511,I didn't know contributions needed to come from a fork!,come from a fork,I didn't know contributions needed to come from a copy of the codes!,I didn't know driving a car required a separate pathway!,come from a fork,,idiom
1238,"Thank you, addressed it in the latest commit.","address, commit","Thank you, solved it in the latest local change.","Thank you, addressed the envelope for delivery and committed to the latest meeting proposal.",commit,address,metaphor
938,LOL I have no clue how this happened something something ammend instead of commit LOL,"clue, commit",LOL I have no idea how this happened something something ammend instead of making a change LOL,"Haha! I don't understand how these plants grew, something something improved instead of watered, haha!",commit,clue,metaphor
1081,Please remember to sign your commits with -s in future :) will let this one slide!,"commit, let, slide",Please remember to sign your code with -s in future :) will stop worring about this!,Please remember to bring your ID card with -s in future :) will permit this one absence!,commit,"let, slide",metaphor
1052,One last minor nit please (since we need another commit for the golden files anyway).,"nit, commit, golden",One last minor point please (since we need another set of local changes for the expected output files anyway).,One final small scrap please (since we need another disposal for the recyclable items anyway).,commit,"nit, golden",metaphor
1309,"That's a good point, I will make the changes and commit again.","point, commit","That's a good point, I will make make changes locally again.","That's a challenging target point, I will adjust my aim and shoot again.",commit,point,metaphor
89,@unoexperto anyway I commit fix for methods and fields.,"commit, fix",@unoexperto anyway I carried out repairs for methods and fields.,"@unoexperto anyway, I'll commit to repairing the fence for our farm and field maintenance.","commit, fix",,metaphor
1137,So it's a bit of a conflict on the line: better is the enemy of good.,"conflict on the line, better is the enemy of good",So it's a bit of a issue: can't be exact.,"In my garden, there's a constant struggle between the sunflowers and the tulips: bigger is the friend of beauty.",conflict on the line,better is the enemy of good,idiom
791,"If some confused code cannot be decompiled well, I will package it into a jar package to call",confused code,"If some code with errors cannot be decompiled well, I will package it into a jar package to call","If some code written in a confusing programming language cannot be documented well, it will remain full of confusion to call.",confused code,,metaphor
86,"@taylorotwell I agree, this should be in the connection class.",connection class,"@taylorotwell I agree, this should be in the same relationship class.","@taylorotwell I agree, this feature should be in the connection module for our train timetable app.",connection class,,idiom
696,I would love to know why they have these constraints in place.,constraints in place,I would love to know why they implemented these restriction in code.,I would love to know how they have these boundaries set up in their garden.,constraints in place,,idiom
433,Hope this makes it into the core =),"makes, core",Hope this gets added into the main repository =),The architect hopes this new design makes the building's core more efficient.,core,makes,metaphor
610,I suspect the mismatch between these is what is causing the crash.,"mismatch, crash",I suspect the incompatibility between these is what is causing the sudden stop of the program.,The lack of coordination between the two teams is what is causing the collision.,crash,mismatch,metaphor
655,I thought it will just crash and force updating java.,crash,I thought it will just stop running and force updating java.,"I believed the drone would crash into the tree, forcing my attention towards updating my navigation skills.",crash,,metaphor
298,"Do i need a debugger attached to explorer or
will the app create its own crash dump?",crash dump,Do i need a debugger attached to explorer or will the app create its own system crash file?,Do I need a debugger attached to explorer or will the app create its own log file?,crash dump,,idiom
287,Could this cause a crash loop if there is some unhandled exception on launcher startup?,crash loop,Could this cause a infinite crash cycle if there is some unhandled exception on launcher startup?,Could this prevent a smooth operation if there is thorough exception handling on launcher startup?,crash loop,,idiom
272,CHECK really isn't great as it crashes the entire process which potentially runs other things as well.,crashes,CHECK really isn't great as it disrupts the entire process which potentially runs other things as well.,"The CHECK is incredibly amazing as it ensures the reliability the entire process, which potentially advances other things as well.",crashes,,metaphor
520,I don't see critical bug here.,critical bug,I don't see serious errors here.,I don't see a swarm of bugs in the garden.,critical bug,,metaphor
557,"I have the data dump file, but that's it.",data dump,"I have the data file, but that's it.","I have the recipe book file, but that's it.",data dump,,idiom
290,Dead code is bad idea anyway.,Dead code,Useless code is bad idea anyway.,Clean energy is a good idea anyway.,Dead code,,idiom
1357,The problem with that is dead code elimination.,dead code,The problem with that is eliminating unnecessary code.,The problem with that is dead insect elimination.,dead code,,idiom
1388,These context lines look like dead code.,dead code,These context lines look like unnecessary code.,These flowers look like dead petals but they bloom with vibrant colors.,dead code,,idiom
1462,this looks like dead code to me,dead code,this looks useless to me,This looks to be a documentary about dead things.,dead code,,idiom
587,I missed this when I transposed over from my dead fork :-/.,dead fork,I missed this when I transposed over from my discontinued version of code :-/.,I missed the bus when I hurriedly crossed the street.,dead fork,,idiom
1567,What I liked is the Ubuntu's US keyboard layout with dead keys.,dead keys,What I liked is the Ubuntu's US keyboard layout which has keys to apply accents.,What I liked is the Ubuntu's US keyboard layout with customizable keys.,dead keys,,idiom
103,A dead load that practically serves nothing but neo-puritan egos.,"dead load, neo-puritan",A waste that practically serves nothing but strict-minded egos.,A vital textbook that educates only open-minded students.,dead load,neo-puritan,idiom
793,"If the classes would always build a tree, our current algorithm would work well without dead locks.","build, work, dead locks","If the classes would always form a tree, our current algorithm would execute well without errors.","If every individual would always plant a tree, our current air quality would improve well without excessive pollution.","dead locks, build",work,metaphor
1446,This is useful for two reasons: 1) Detect dead peers.,dead peers,This is useful for two reasons: 1) sense disconnections.,This is useful for two reasons: 1) Discover unresponsive teammates.,dead peers,,idiom
154,"And as a conclusion: main problems of deadlock is not ""how"" code must work but that it is easy to make mistake (break assumptions) and hard to write a tests for these multithreaded problems :(","deadlock, multithreaded problems","And as a conclusion: main problems of the holdup is not ""how"" code must work but that it is easy to make mistake (break assumptions) and hard to write a tests for these complex issues :(","And as a conclusion: main problems of ""jigsaw puzzle assembly"" is not ""how"" pieces must fit but that it is easy to make a mistake (break connections) and hard to find the right pieces for these intricate puzzles :(","deadlock, multithreaded",,metaphor
1380,There is a world of debt and basically an action is a command with extras.,"debt, command",There is a world of debt and basically an action is unnecessary.,There is a world of debt and basically an action is a decision with consequences.,"debt, command",,metaphor
1593,Would it be OK for you if I prepare such a debug build so you can run it on your machines?,debug build,Would it be OK for you if I prepare such a solution to these errors so you can run it on your machines?,Would it be OK for you if I prepare such a cake recipe so you can bake it in your kitchen?,debug build,,idiom
751,"I'm sorry i was debugging a bit, I have removed the unnecessary formatting!",debugging,"I'm sorry i was identifying and removing error in code a bit, I have removed the unnecessary formatting!","I'm sorry I was gardening a bit, I have removed the unnecessary weeds!",debugging,,metaphor
15,@amurzeau Thanks for debugging it and coming up with the root cause.,"debugging, coming up, root cause",@amurzeau Thanks for detecting it and formulating the primary issue.,@amurzeau Thanks for removing insects from the garden and coming up with the shovel to put the root in.,"debugging, root cause",coming up,metaphor
888,It's a good trick to get a deep clone.,deep clone,It's a good trick to get an exact copy,"The magician astonished everyone by revealing a good trick, where he created a clone of himself.",deep clone,,idiom
609,I still think it's a workable solution but yeah it's not what I would design from scratch just for search.,design from scratch,I still think it's a workable solution but yeah it's not what I would design all the things including the most basic ones just for search.,"I still think it's a workable recipe, but yeah, it's not what I would cook from scratch just for dinner.",design from scratch,,idiom
1104,"Same here, I know closure will strip it out, but I'd prefer if it were behind a dev guard.","strip it out, dev guard","Same here, I know closure will make it easier to understand, but I'd prefer if it were supported by an IoT management suite.","Same here, I know throwing away the waste will get rid of it, but I'd prefer if it were in a recycling bin.",dev guard,strip it out,idiom
690,I would actually not worry too much about the dirty state.,dirty state,I would actually not worry too much about the unsynchronized memory.,I would actually not worry too much about the dirty shoes.,dirty state,,idiom
1540,We got rid of the dirty state on open.,dirty state,We got rid of the messy state on the start of the program.,We got rid of the dirty state successfully after cleaning the house.,dirty state,,idiom
